method,time,MX,FI91601,FA,L2,LIMS_S905_Water,LIMS_S907_Water,LIMS_S708_Br_Index,LIMS_S708_A9,LIMS_S708_A10,LIMS_S708_Water,LIMS_S708_Sulfur,LIMS_s919_A9,LIMS_s919_A10
Linear,-30.538845285044776,9.0,562.0,0.471,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-32.44217121385807,9.0,562.0,0.472,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-32.21776195048165,9.0,562.0,0.472,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.993352687105233,9.0,562.0,0.472,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.768943423728818,9.0,562.0,0.472,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.5445341603524,9.0,562.0,0.472,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.32012489697598,9.0,562.0,0.472,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.095715633599564,9.0,562.0,0.472,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.871306370223145,9.0,562.0,0.472,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.646897106846726,9.0,562.0,0.472,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.422487843470307,9.0,562.0,0.472,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.198078580093892,9.0,562.0,0.472,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-32.10140450890719,9.0,562.0,0.473,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.876995245530768,9.0,562.0,0.473,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.65258598215435,9.0,562.0,0.473,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.42817671877793,9.0,562.0,0.473,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.203767455401515,9.0,562.0,0.473,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.979358192025096,9.0,562.0,0.473,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.754948928648677,9.0,562.0,0.473,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.530539665272258,9.0,562.0,0.473,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.306130401895842,9.0,562.0,0.473,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.081721138519423,9.0,562.0,0.473,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.857311875143004,9.0,562.0,0.473,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.7606378039563,9.0,562.0,0.474,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.53622854057988,9.0,562.0,0.474,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.311819277203465,9.0,562.0,0.474,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.087410013827046,9.0,562.0,0.474,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.863000750450627,9.0,562.0,0.474,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.63859148707421,9.0,562.0,0.474,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.414182223697793,9.0,562.0,0.474,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.189772960321374,9.0,562.0,0.474,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.965363696944955,9.0,562.0,0.474,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.74095443356854,9.0,562.0,0.474,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.51654517019212,9.0,562.0,0.474,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.41987109900536,9.0,562.0,0.475,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.19546183562894,9.0,562.0,0.475,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.97105257225252,9.0,562.0,0.475,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.746643308876106,9.0,562.0,0.475,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.522234045499687,9.0,562.0,0.475,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.297824782123268,9.0,562.0,0.475,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.07341551874685,9.0,562.0,0.475,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.849006255370433,9.0,562.0,0.475,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.624596991994014,9.0,562.0,0.475,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.400187728617595,9.0,562.0,0.475,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.17577846524118,9.0,562.0,0.475,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-31.07910439405453,9.0,562.0,0.476,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.85469513067811,9.0,562.0,0.476,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.630285867301694,9.0,562.0,0.476,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.405876603925275,9.0,562.0,0.476,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.181467340548856,9.0,562.0,0.476,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.95705807717244,9.0,562.0,0.476,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.732648813796022,9.0,562.0,0.476,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.508239550419603,9.0,562.0,0.476,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.283830287043187,9.0,562.0,0.476,0.318,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.05942102366677,9.0,562.0,0.476,0.319,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-28.83501176029035,9.0,562.0,0.476,0.32,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.738337689103588,9.0,562.0,0.477,0.31,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.51392842572717,9.0,562.0,0.477,0.311,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.28951916235075,9.0,562.0,0.477,0.312,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-30.065109898974335,9.0,562.0,0.477,0.313,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.840700635597916,9.0,562.0,0.477,0.314,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.616291372221497,9.0,562.0,0.477,0.315,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.39188210884508,9.0,562.0,0.477,0.316,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
Linear,-29.167472845468662,9.0,562.0,0.477,0.317,79.0,78.0,4.5,0.006,0.0,62.0,0.097,472.0,4816.0
